date,sku_id,product_name,category,vendor,warehouse_location,sales_channel,units_sold,stock_level,reorder_point,supplier_lead_time_days,unit_cost,unit_price,revenue,on_promotion,discount_pct,temperature_c,customer_rating
2025-11-16,SKU105,Sunglasses,Accessories,Vendor A,North,Online,47.0,107.0,59,3,85.64,143.16,6728.52,False,0.0,36.4,4.8
2025-04-21,SKU106,Denim Jeans,Apparel,Vendor C,South,Online,84.0,257.0,87,9,71.61,120.54,10125.36,False,0.0,9.0,4.0
2025-04-17,SKU112,Hoodie,Apparel,Vendor B,South,Online,43.0,120.0,73,11,65.48,148.54,6387.22,False,0.0,21.3,4.6
2025-09-29,SKU104,Protein Powder,Health,Vendor B,East,Retail Store,26.0,165.0,70,9,49.68,111.64,2902.64,False,0.0,25.5,4.4
2025-09-16,SKU112,Hoodie,Apparel,Vendor B,South,Online,44.0,167.0,73,11,65.48,148.54,6535.76,False,0.0,23.0,4.3
2025-08-08,SKU108,Sports Socks,Apparel,Vendor B,East,Online,65.0,156.0,64,3,56.21,111.36,7238.4,False,0.0,29.5,3.9
2025-09-01,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,18.0,125.0,74,6,33.5,57.73,1039.14,False,0.0,39.8,4.5
2025-02-26,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,86.0,94.0,74,13,46.67,72.31,6218.66,True,14.0,19.0,3.9
2025-05-31,SKU109,Gym Bag,Fitness,Vendor C,West,Online,19.0,119.0,45,12,73.66,161.49,3068.31,False,0.0,23.7,3.5
2025-10-09,SKU111,Water Bottle,Fitness,Vendor A,North,Retail Store,26.0,212.0,79,12,24.6,52.01,1352.26,False,0.0,22.2,4.7
2025-03-19,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,21.0,268.0,74,6,33.5,57.73,1212.33,False,0.0,27.4,3.9
2025-04-11,SKU109,Gym Bag,Fitness,Vendor C,West,Online,8.0,97.0,45,12,73.66,161.49,1291.92,False,0.0,10.1,3.5
2025-03-16,SKU104,Protein Powder,Health,Vendor B,East,Online,25.0,256.0,70,9,49.68,111.64,2791.0,False,0.0,22.4,4.1
2025-10-04,SKU102,Running Shoes,Footwear,Vendor B,West,Retail Store,98.0,285.0,51,14,48.81,90.37,8856.26,False,0.0,19.5,3.8
2025-07-05,SKU109,Gym Bag,Fitness,Vendor C,West,Online,13.0,125.0,45,12,73.66,161.49,2099.37,False,0.0,25.1,4.4
2025-02-12,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,52.0,243.0,74,13,46.67,72.31,3760.12,False,0.0,34.6,4.4
2025-02-16,SKU103,Yoga Mat,Fitness,Vendor C,East,Online,28.0,95.0,42,8,28.05,51.04,1429.12,False,0.0,21.9,3.5
2025-06-25,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Online,18.0,79.0,74,6,33.5,57.73,1039.14,False,0.0,16.8,4.9
2025-04-17,SKU105,Sunglasses,Accessories,Vendor A,North,Retail Store,25.0,130.0,59,3,85.64,143.16,3579.0,False,0.0,28.4,4.5
2025-08-05,SKU112,Hoodie,Apparel,Vendor B,South,Online,38.0,112.0,73,11,65.48,148.54,5644.52,False,0.0,14.4,5.0
2025-06-23,SKU106,Denim Jeans,Apparel,Vendor C,South,Online,77.0,117.0,87,9,71.61,120.54,9281.58,False,0.0,20.9,4.3
2025-08-26,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Online,16.0,143.0,74,6,33.5,57.73,923.68,False,0.0,14.5,4.1
2025-02-08,SKU111,Water Bottle,Fitness,Vendor A,North,Retail Store,28.0,132.0,79,12,24.6,52.01,1456.28,False,0.0,13.6,3.9
2025-09-10,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,13.0,166.0,74,6,33.5,57.73,750.49,False,0.0,34.4,4.8
2025-11-15,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,75.0,164.0,42,8,28.05,51.04,3828.0,False,0.0,15.9,3.7
2025-04-10,SKU111,Water Bottle,Fitness,Vendor A,North,Online,26.0,147.0,79,12,24.6,52.01,1352.26,False,0.0,28.4,3.9
2025-06-07,SKU102,Running Shoes,Footwear,Vendor B,West,Online,71.0,125.0,51,14,48.81,90.37,6416.27,False,0.0,33.2,3.4
2025-08-03,SKU106,Denim Jeans,Apparel,Vendor C,South,Retail Store,87.0,176.0,87,9,71.61,120.54,10486.98,False,0.0,23.3,4.0
2025-06-15,SKU111,Water Bottle,Fitness,Vendor A,North,Online,36.0,250.0,79,12,24.6,52.01,1872.36,False,0.0,27.4,3.9
2025-11-07,SKU112,Hoodie,Apparel,Vendor B,South,Online,73.0,182.0,73,11,65.48,148.54,10843.42,False,0.0,32.7,5.0
2025-04-30,SKU102,Running Shoes,Footwear,Vendor B,West,Online,57.0,82.0,51,14,48.81,90.37,5151.09,False,0.0,34.0,4.6
2025-08-17,SKU104,Protein Powder,Health,Vendor B,East,Retail Store,29.0,147.0,70,9,49.68,111.64,3237.56,False,0.0,30.5,3.1
2025-02-15,SKU110,Smart Watch,Electronics,Vendor D,North,Online,46.0,255.0,88,6,77.96,163.29,7511.34,False,0.0,25.6,4.4
2025-02-20,SKU112,Hoodie,Apparel,Vendor B,South,Online,42.0,151.0,73,11,65.48,148.54,6238.68,False,0.0,24.8,4.7
2025-12-10,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,33.0,123.0,74,6,33.5,57.73,1905.09,False,0.0,13.4,4.6
2025-08-02,SKU108,Sports Socks,Apparel,Vendor B,East,Online,68.0,128.0,64,3,56.21,111.36,7572.48,False,0.0,10.5,4.5
2025-09-26,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,21.0,219.0,74,6,33.5,57.73,1212.33,False,0.0,13.3,4.1
2025-11-03,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Online,26.0,189.0,74,6,33.5,57.73,1500.98,False,0.0,22.4,3.3
2025-04-19,SKU108,Sports Socks,Apparel,Vendor B,East,Retail Store,75.0,146.0,64,3,56.21,111.36,8352.0,False,0.0,32.7,4.1
2025-04-04,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,45.0,181.0,42,8,28.05,51.04,2296.8,False,0.0,14.7,4.1
2025-10-03,SKU108,Sports Socks,Apparel,Vendor B,East,Online,52.0,253.0,64,3,56.21,111.36,5790.72,False,0.0,20.0,4.3
2025-05-10,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,29.0,130.0,74,6,33.5,57.73,1674.17,False,0.0,39.1,3.6
2025-02-12,SKU108,Sports Socks,Apparel,Vendor B,East,Retail Store,40.0,154.0,64,3,56.21,111.36,4454.4,False,0.0,28.0,3.8
2025-08-09,SKU110,Smart Watch,Electronics,Vendor D,North,Wholesale,62.0,138.0,88,6,77.96,163.29,10123.98,False,0.0,24.6,3.7
2025-05-18,SKU104,Protein Powder,Health,Vendor B,East,Online,28.0,196.0,70,9,49.68,111.64,3125.92,False,0.0,26.7,3.4
2025-01-28,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,24.0,160.0,42,8,28.05,51.04,1224.96,False,0.0,23.9,4.6
2025-09-30,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,76.0,103.0,74,13,46.67,72.31,5495.56,True,37.0,27.3,4.0
2025-01-13,SKU107,Baseball Cap,Accessories,Vendor A,South,Wholesale,51.0,303.0,74,13,46.67,72.31,3687.81,False,0.0,22.5,4.2
2025-08-24,SKU109,Gym Bag,Fitness,Vendor C,West,Online,16.0,84.0,45,12,73.66,161.49,2583.84,False,0.0,15.8,4.5
2025-11-03,SKU104,Protein Powder,Health,Vendor B,East,Wholesale,38.0,246.0,70,9,49.68,111.64,4242.32,False,0.0,28.6,4.0
2025-04-07,SKU109,Gym Bag,Fitness,Vendor C,West,Wholesale,12.0,142.0,45,12,73.66,161.49,1937.88,False,0.0,31.5,4.1
2025-02-23,SKU104,Protein Powder,Health,Vendor B,East,Retail Store,22.0,117.0,70,9,49.68,111.64,2456.08,False,0.0,29.6,4.8
2025-03-23,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,29.0,176.0,74,6,33.5,57.73,1674.17,False,0.0,23.9,4.2
2025-08-24,SKU108,Sports Socks,Apparel,Vendor B,East,Retail Store,70.0,101.0,64,3,56.21,111.36,7795.2,False,0.0,16.8,3.8
2025-05-09,SKU108,Sports Socks,Apparel,Vendor B,East,Wholesale,47.0,76.0,64,3,56.21,111.36,5233.92,False,0.0,29.9,4.7
2025-06-11,SKU109,Gym Bag,Fitness,Vendor C,West,Retail Store,11.0,193.0,45,12,73.66,161.49,1776.39,False,0.0,16.5,3.8
2025-04-03,SKU108,Sports Socks,Apparel,Vendor B,East,Online,67.0,99.0,64,3,56.21,111.36,7461.12,True,12.0,22.1,4.8
2025-11-07,SKU102,Running Shoes,Footwear,Vendor B,West,Online,100.0,158.0,51,14,48.81,90.37,9037.0,False,0.0,23.8,3.9
2025-12-15,SKU111,Water Bottle,Fitness,Vendor A,North,Online,33.0,277.0,79,12,24.6,52.01,1716.33,False,0.0,26.7,4.2
2025-02-09,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,43.0,175.0,42,8,28.05,51.04,2194.72,False,0.0,18.4,4.3
2025-07-30,SKU103,Yoga Mat,Fitness,Vendor C,East,Online,68.0,77.0,42,8,28.05,51.04,3470.72,False,0.0,13.0,4.3
2025-03-04,SKU108,Sports Socks,Apparel,Vendor B,East,Retail Store,45.0,217.0,64,3,56.21,111.36,5011.2,False,0.0,26.1,4.6
2025-08-27,SKU109,Gym Bag,Fitness,Vendor C,West,Online,9.0,51.0,45,12,73.66,161.49,1453.41,False,0.0,18.7,3.8
2025-04-27,SKU110,Smart Watch,Electronics,Vendor D,North,Online,60.0,255.0,88,6,77.96,163.29,9797.4,False,0.0,17.8,4.6
2025-03-17,SKU105,Sunglasses,Accessories,Vendor A,North,Online,23.0,133.0,59,3,85.64,143.16,3292.68,False,0.0,22.9,3.7
2025-06-17,SKU112,Hoodie,Apparel,Vendor B,South,Online,65.0,166.0,73,11,65.48,148.54,9655.1,False,0.0,28.6,4.7
2025-09-23,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,62.0,249.0,42,8,28.05,51.04,3164.48,True,33.0,27.7,5.0
2025-11-17,SKU106,Denim Jeans,Apparel,Vendor C,South,Online,190.0,218.0,87,9,71.61,120.54,22902.6,True,35.0,17.1,4.5
2025-04-29,SKU110,Smart Watch,Electronics,Vendor D,North,Retail Store,64.0,129.0,88,6,77.96,163.29,10450.56,False,0.0,21.5,4.0
2025-11-27,SKU110,Smart Watch,Electronics,Vendor D,North,Online,97.0,129.0,88,6,77.96,163.29,15839.13,False,0.0,25.1,4.6
2025-12-23,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,25.0,331.0,74,6,33.5,57.73,1443.25,False,0.0,8.9,3.9
2025-04-01,SKU109,Gym Bag,Fitness,Vendor C,West,Retail Store,16.0,227.0,45,12,73.66,161.49,2583.84,False,0.0,24.0,4.1
2025-11-08,SKU104,Protein Powder,Health,Vendor B,East,Online,42.0,91.0,70,9,49.68,111.64,4688.88,False,0.0,29.0,3.9
2025-09-01,SKU112,Hoodie,Apparel,Vendor B,South,Retail Store,64.0,242.0,73,11,65.48,148.54,9506.56,False,0.0,21.6,4.9
2025-10-07,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,44.0,103.0,74,13,46.67,72.31,3181.64,False,0.0,29.0,4.9
2025-09-16,SKU110,Smart Watch,Electronics,Vendor D,North,Retail Store,27.0,201.0,88,6,77.96,163.29,4408.83,False,0.0,25.3,3.9
2025-12-24,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,31.0,300.0,74,6,33.5,57.73,1789.63,False,0.0,37.1,3.8
2025-04-18,SKU102,Running Shoes,Footwear,Vendor B,West,Online,75.0,184.0,51,14,48.81,90.37,6777.75,False,0.0,33.0,4.4
2025-01-06,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,5.0,285.0,74,6,33.5,57.73,288.65,False,0.0,30.7,4.4
2025-10-05,SKU104,Protein Powder,Health,Vendor B,East,Online,23.0,231.0,70,9,49.68,111.64,2567.72,False,0.0,23.1,4.5
2025-05-12,SKU107,Baseball Cap,Accessories,Vendor A,South,Retail Store,67.0,163.0,74,13,46.67,72.31,4844.77,False,0.0,18.5,4.2
2025-08-04,SKU110,Smart Watch,Electronics,Vendor D,North,Online,47.0,267.0,88,6,77.96,163.29,7674.63,False,0.0,25.2,3.6
2025-11-15,SKU112,Hoodie,Apparel,Vendor B,South,Online,92.0,161.0,73,11,65.48,148.54,13665.68,False,0.0,31.3,3.9
2025-03-20,SKU111,Water Bottle,Fitness,Vendor A,North,Retail Store,19.0,211.0,79,12,24.6,52.01,988.19,False,0.0,0.9,4.4
2025-08-01,SKU109,Gym Bag,Fitness,Vendor C,West,Retail Store,15.0,183.0,45,12,73.66,161.49,2422.35,False,0.0,21.0,4.9
2025-12-09,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,25.0,156.0,74,6,33.5,57.73,1443.25,False,0.0,29.5,4.2
2025-02-06,SKU109,Gym Bag,Fitness,Vendor C,West,Online,7.0,134.0,45,12,73.66,161.49,1130.43,False,0.0,27.3,4.5
2025-07-18,SKU112,Hoodie,Apparel,Vendor B,South,Retail Store,43.0,78.0,73,11,65.48,148.54,6387.22,False,0.0,18.5,3.7
2025-09-25,SKU109,Gym Bag,Fitness,Vendor C,West,Online,14.0,50.0,45,12,73.66,161.49,2260.86,False,0.0,26.3,4.3
2025-03-11,SKU108,Sports Socks,Apparel,Vendor B,East,Online,50.0,89.0,64,3,56.21,111.36,5568.0,False,0.0,27.0,3.7
2025-01-24,SKU106,Denim Jeans,Apparel,Vendor C,South,Online,46.0,185.0,87,9,71.61,120.54,5544.84,False,0.0,26.9,3.9
2025-02-14,SKU102,Running Shoes,Footwear,Vendor B,West,Online,64.0,208.0,51,14,48.81,90.37,5783.68,False,0.0,6.4,3.5
2025-08-12,SKU110,Smart Watch,Electronics,Vendor D,North,Online,65.0,262.0,88,6,77.96,163.29,10613.85,False,0.0,14.8,4.3
2025-01-08,SKU103,Yoga Mat,Fitness,Vendor C,East,Online,24.0,195.0,42,8,28.05,51.04,1224.96,False,0.0,18.0,4.4
2025-09-09,SKU105,Sunglasses,Accessories,Vendor A,North,Retail Store,21.0,284.0,59,3,85.64,143.16,3006.36,False,0.0,32.1,3.8
2025-03-29,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,58.0,125.0,74,13,46.67,72.31,4193.98,False,0.0,31.4,4.5
2025-04-13,SKU105,Sunglasses,Accessories,Vendor A,North,Wholesale,29.0,87.0,59,3,85.64,143.16,4151.64,False,0.0,19.5,4.0
2025-08-25,SKU110,Smart Watch,Electronics,Vendor D,North,Retail Store,115.0,236.0,88,6,77.96,163.29,18778.35,True,20.0,45.7,4.1
2025-06-17,SKU106,Denim Jeans,Apparel,Vendor C,South,Online,56.0,88.0,87,9,71.61,120.54,6750.24,False,0.0,25.6,4.8
2025-03-08,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,55.0,144.0,42,8,28.05,51.04,2807.2,False,0.0,28.5,4.7
2025-07-31,SKU109,Gym Bag,Fitness,Vendor C,West,Online,10.0,198.0,45,12,73.66,161.49,1614.9,False,0.0,16.1,4.6
2025-01-27,SKU110,Smart Watch,Electronics,Vendor D,North,Retail Store,58.0,212.0,88,6,77.96,163.29,9470.82,False,0.0,20.6,3.7
2025-05-04,SKU106,Denim Jeans,Apparel,Vendor C,South,Online,80.0,169.0,87,9,71.61,120.54,9643.2,False,0.0,30.0,4.0
2025-02-06,SKU112,Hoodie,Apparel,Vendor B,South,Retail Store,45.0,151.0,73,11,65.48,148.54,6684.3,False,0.0,25.1,4.7
2025-07-31,SKU102,Running Shoes,Footwear,Vendor B,West,Online,55.0,244.0,51,14,48.81,90.37,4970.35,False,0.0,11.1,4.1
2025-01-09,SKU104,Protein Powder,Health,Vendor B,East,Online,15.0,156.0,70,9,49.68,111.64,1674.6,False,0.0,24.7,4.0
2025-09-16,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Online,23.0,203.0,74,6,33.5,57.73,1327.79,False,0.0,14.2,4.1
2025-09-16,SKU111,Water Bottle,Fitness,Vendor A,North,Online,25.0,184.0,79,12,24.6,52.01,1300.25,False,0.0,25.8,3.9
2025-11-27,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Online,29.0,117.0,74,6,33.5,57.73,1674.17,False,0.0,27.0,4.3
2025-11-24,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,74.0,93.0,74,13,46.67,72.31,5350.94,False,0.0,18.9,4.1
2025-08-13,SKU109,Gym Bag,Fitness,Vendor C,West,Online,13.0,231.0,45,12,73.66,161.49,2099.37,False,0.0,22.9,4.1
2025-11-23,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Online,39.0,245.0,74,6,33.5,57.73,2251.47,False,0.0,27.0,4.4
2025-09-21,SKU109,Gym Bag,Fitness,Vendor C,West,Online,20.0,97.0,45,12,73.66,161.49,3229.8,False,0.0,25.7,4.3
2025-02-18,SKU102,Running Shoes,Footwear,Vendor B,West,Online,54.0,141.0,51,14,48.81,90.37,4879.98,True,30.0,10.2,5.0
2025-08-13,SKU110,Smart Watch,Electronics,Vendor D,North,Retail Store,72.0,190.0,88,6,77.96,163.29,11756.88,False,0.0,19.1,4.2
2025-03-07,SKU108,Sports Socks,Apparel,Vendor B,East,Retail Store,66.0,166.0,64,3,56.21,111.36,7349.76,False,0.0,42.0,4.7
2025-04-24,SKU108,Sports Socks,Apparel,Vendor B,East,Retail Store,39.0,166.0,64,3,56.21,111.36,4343.04,False,0.0,39.7,3.7
2025-04-14,SKU110,Smart Watch,Electronics,Vendor D,North,Wholesale,82.0,307.0,88,6,77.96,163.29,13389.78,False,0.0,38.0,4.7
2025-08-29,SKU109,Gym Bag,Fitness,Vendor C,West,Online,12.0,184.0,45,12,73.66,161.49,1937.88,False,0.0,27.8,4.0
2025-01-07,SKU103,Yoga Mat,Fitness,Vendor C,East,Online,35.0,219.0,42,8,28.05,51.04,1786.4,False,0.0,33.4,4.4
2025-01-31,SKU103,Yoga Mat,Fitness,Vendor C,East,Online,51.0,200.0,42,8,28.05,51.04,2603.04,False,0.0,32.9,4.7
2025-08-01,SKU111,Water Bottle,Fitness,Vendor A,North,Online,27.0,267.0,79,12,24.6,52.01,1404.27,False,0.0,12.8,4.2
2025-08-26,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,47.0,47.0,42,8,28.05,51.04,2398.88,False,0.0,26.2,4.0
2025-11-30,SKU104,Protein Powder,Health,Vendor B,East,Online,44.0,113.0,70,9,49.68,111.64,4912.16,False,0.0,19.3,3.8
2025-07-10,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,70.0,86.0,42,8,28.05,51.04,3572.8,True,21.0,38.0,4.4
2025-12-30,SKU104,Protein Powder,Health,Vendor B,East,Wholesale,34.0,73.0,70,9,49.68,111.64,3795.76,False,0.0,17.9,4.0
2025-07-11,SKU106,Denim Jeans,Apparel,Vendor C,South,Online,64.0,252.0,87,9,71.61,120.54,7714.56,False,0.0,21.1,4.5
2025-10-25,SKU102,Running Shoes,Footwear,Vendor B,West,Wholesale,68.0,124.0,51,14,48.81,90.37,6145.16,False,0.0,11.2,3.8
2025-09-04,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,51.0,223.0,74,13,46.67,72.31,3687.81,False,0.0,32.2,4.1
2025-04-23,SKU109,Gym Bag,Fitness,Vendor C,West,Retail Store,14.0,129.0,45,12,73.66,161.49,2260.86,True,27.0,14.9,4.6
2025-01-29,SKU110,Smart Watch,Electronics,Vendor D,North,Online,53.0,115.0,88,6,77.96,163.29,8654.37,False,0.0,33.7,4.2
2025-12-14,SKU109,Gym Bag,Fitness,Vendor C,West,Online,24.0,202.0,45,12,73.66,161.49,3875.76,False,0.0,23.0,4.0
2025-11-23,SKU111,Water Bottle,Fitness,Vendor A,North,Online,56.0,141.0,79,12,24.6,52.01,2912.56,False,0.0,18.8,3.9
2025-04-28,SKU111,Water Bottle,Fitness,Vendor A,North,Online,24.0,144.0,79,12,24.6,52.01,1248.24,False,0.0,29.3,3.6
2025-12-04,SKU108,Sports Socks,Apparel,Vendor B,East,Online,71.0,108.0,64,3,56.21,111.36,7906.56,False,0.0,13.5,4.3
2025-07-16,SKU104,Protein Powder,Health,Vendor B,East,Online,27.0,227.0,70,9,49.68,111.64,3014.28,False,0.0,22.3,4.6
2025-10-02,SKU109,Gym Bag,Fitness,Vendor C,West,Retail Store,14.0,182.0,45,12,73.66,161.49,2260.86,False,0.0,22.2,3.4
2025-02-03,SKU112,Hoodie,Apparel,Vendor B,South,Wholesale,38.0,123.0,73,11,65.48,148.54,5644.52,False,0.0,29.7,3.9
2025-03-20,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Wholesale,16.0,252.0,74,6,33.5,57.73,923.68,True,21.0,30.7,3.9
2025-08-14,SKU103,Yoga Mat,Fitness,Vendor C,East,Online,46.0,258.0,42,8,28.05,51.04,2347.84,False,0.0,25.8,5.0
2025-11-14,SKU112,Hoodie,Apparel,Vendor B,South,Online,65.0,253.0,73,11,65.48,148.54,9655.1,False,0.0,31.2,4.5
2025-04-17,SKU104,Protein Powder,Health,Vendor B,East,Retail Store,22.0,246.0,70,9,49.68,111.64,2456.08,False,0.0,16.0,3.5
2025-02-23,SKU108,Sports Socks,Apparel,Vendor B,East,Online,43.0,103.0,64,3,56.21,111.36,4788.48,False,0.0,17.4,4.5
2025-04-01,SKU112,Hoodie,Apparel,Vendor B,South,Retail Store,39.0,193.0,73,11,65.48,148.54,5793.06,False,0.0,12.8,4.3
2025-02-20,SKU109,Gym Bag,Fitness,Vendor C,West,Online,16.0,181.0,45,12,73.66,161.49,2583.84,True,11.0,23.7,3.4
2025-02-11,SKU104,Protein Powder,Health,Vendor B,East,Retail Store,17.0,175.0,70,9,49.68,111.64,1897.88,True,12.0,34.7,3.9
2025-08-23,SKU111,Water Bottle,Fitness,Vendor A,North,Wholesale,35.0,221.0,79,12,24.6,52.01,1820.35,False,0.0,43.8,4.4
2025-03-16,SKU110,Smart Watch,Electronics,Vendor D,North,Online,75.0,112.0,88,6,77.96,163.29,12246.75,False,0.0,30.0,4.5
2025-07-26,SKU108,Sports Socks,Apparel,Vendor B,East,Retail Store,76.0,208.0,64,3,56.21,111.36,8463.36,False,0.0,39.3,4.9
2025-11-14,SKU108,Sports Socks,Apparel,Vendor B,East,Online,89.0,195.0,64,3,56.21,111.36,9911.04,False,0.0,34.0,4.4
2025-05-28,SKU111,Water Bottle,Fitness,Vendor A,North,Online,26.0,129.0,79,12,24.6,52.01,1352.26,False,0.0,32.4,4.3
2025-08-24,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Online,25.0,183.0,74,6,33.5,57.73,1443.25,False,0.0,7.6,5.0
2025-05-01,SKU110,Smart Watch,Electronics,Vendor D,North,Online,70.0,204.0,88,6,77.96,163.29,11430.3,False,0.0,21.1,4.3
2025-09-11,SKU110,Smart Watch,Electronics,Vendor D,North,Retail Store,83.0,344.0,88,6,77.96,163.29,13553.07,True,29.0,27.4,4.2
2025-11-08,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Online,45.0,293.0,74,6,33.5,57.73,2597.85,False,0.0,26.6,3.7
2025-06-17,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Online,19.0,75.0,74,6,33.5,57.73,1096.87,False,0.0,6.0,4.5
2025-05-09,SKU104,Protein Powder,Health,Vendor B,East,Online,32.0,169.0,70,9,49.68,111.64,3572.48,True,33.0,43.2,4.0
2025-06-21,SKU109,Gym Bag,Fitness,Vendor C,West,Online,20.0,69.0,45,12,73.66,161.49,3229.8,True,13.0,30.4,4.2
